entry,defid,word,author,definition,example,thumbs_up,thumbs_down
brrrraaaaattttttt,4507428,Brrrraaaaattttttt,jonjhajack,Said by the blood gang and members of it. BRRAAATTTTTTT is supposed to be the sound made by machine guns and automatic weapons,One blood sees crip and yells Brrrraaaaattttttt,10,5
bsaa,3907405,BSAA,J.A Walker,Bioterrorism Security Assessment Alliance on resident evil 5,BSAA is like S.T.A.R.S,18,2
buaa,1749598,BUAA,Hao liu,"Beijing Univeristy of Aeronautics and Astronautics. Established in 1952,now it is a top5 chinese University for computing&engineering.","www.buaa.edu.cn
I graduated from BUAA in 2004",8,3
bucken un-naan,925438,Bucken Un-Naan,Grazmataz Christmas-tree,It means fucken unknown in Aboriginal,Dont mess wit da bucken un-naan mate and jus gim me fifty cents bro,2,2
buck saavy,3307874,Buck Saavy,Buck Saavy,"1.Clean Money

2.a nickname","1.Damn That guys got some buck saavy
2.What's up Buck Saavy?",0,2
budmaas,173825,budmaas,Gringo,"An extremely effeminate, fairy kinda person with homosexual tendencies who is usually hounded by other effeminate fairy kinda persons who go by the name ZEN. Budmaas normally plays the husband in the relationship, while ZEN plays the wife.","While Budmaas shoved his well-oil schlong up ZEN's ass, Zen closed his eyes and moaned with pleasure.",0,2
buhgaaawk!,2864319,BUHGAAAWK!,Neil Cro,the sound a [chicken] makes,"boy:hello chicken
chicken: BUHGAAAWK!",3,1
buh hahahaaa,1715299,Buh hahahaaa,Edwardiogonzalessss,Evil laugh. COmmonly stated BUH hahahahahaaa!!! Or MUH hahahahhaaaa!!,"Guy 1: I am going to get you my pretty! MUH HAHAHAHAHA!!!

Guy 2: Lay off the stuff

Guy 1: Buh hahahaaa!!",1,0
bumbaatas,1114913,bumbaatas,Jezzikuh,"A pair of very short shorts, worn by males (similar to [Daisy Duke's.] Commonly worn during physical activites such as soccer, jogging, etc.","Wow, Gabe seems so much more lithe than his team mates. It must be his [bumbaatas.]",2,1
bumbaclaart,3076910,bumbaclaart,Raaaas,"an exclamation usually deemed offensive within the jamacian and havering regions; the prefix 'bumba-' meaning big with 'claart', jamacian for the clitorus.","Person 1: God, Mark blew us out again!

Person 2: What a bumbaclaart!",12,63
bumbaclaat,178468,bumbaclaat,madd dogg,"a word from da patois language of da jamaican people, originally bumba is ass and claat iis cloth hence asswipes or  a fuckin stupid person like ur momma","(P1)who dis blacker kid fi sell crack cocaine.
(P2) dem bumbaclaat bwoy dem fi nyam it quick like suga cane",470,214
bumbarasclaat,3170492,bumbarasclaat,rebeccuh,"to say like ""oh shit or oh my god""","bumbarasclaat
oh shit",5,4
bumbazaar,3300659,Bumbazaar,Matthew Creveling,A musical instrument that is created by stretching two rubber bands over a dog's asshole and plucking them with your teeth.,"We should start a band together, I'll play the Juze Harp, and you could play the bumbazaar.",2,2
bumbklaatt,1911503,bumbklaatt,47_M450N_47,"Bumbklaatt is a Portuguese term.  It is the strongest insult in the language.  Similar to Mother F*cker in the English language.

If you are looking this word up, you probably heard it from the band Soulfly.  It is the name of one of their songs and is frequently used in their lyrics.","From Soulfly - Bumbklaatt:
You fake
You waste
You bumbklaatt...",107,54
bumbklaat,3321306,bumbklaat,Randy Seth Jr.,a ill mannered stupid punk bitch who loves to judge people often compared with a wigger,Dog the bounty hunter is a bumbklaat,3,13
bumboclaat,521696,bumboclaat,Element,"Quite simply, bumboclaat means toilet paper. Bumbo means bottom, claat is the Jamaican pronounciation of cloth. Very mild swear word, but in Jamaica, where swearing is a very serious thing, a few 'rebels' managed to get away with bumboclaat...and it caught on.

Used for emphasis or exclamation mainly:","Dat bumboclaat policebwoy arrest mi fi nutt'n!

A weh di bumboclaat wrong wid yuh?

Bumboclaat, she have a big [bloodclaat] [batty]",371,166
bumboclaat,722871,Bumboclaat,neochin,"(noun or adjective)
1. a jamaican expletive. Literally ""bottom cloth"", a term used to describe the cloth used by women to soak up the blood during their menstrual cycle before pads were commercially available.","The boy fell of his bicycle after being forced off the road by a car. Upon falling he exclaimed, ""Bumboclaat!!!!!""",179,95
bumboclaat,3068808,bum bo claat,acktar,"jamaican curse word use on a daily basis to show frustration or to be disrespectful, it can be use instead of ""fuck""","cho bum bo claat, dat n00b jus kill mi pon halo. mi ago kill him bum bo claat back watch.",44,17
bumboclaat,7992516,bumboclaat,Nosa Unique,"One of the most popular swear words in Jamaica. Though this word doesn't have an actual meaning or english translation, it is mostly used as an exclamation of shock, surprise, anger, frustration or for any other intense emotions.

This term is sometimes combine with other Jamaican expletives such as bloodclaat or pussyclaat. For example, bumbo-bloodclaat or bumbo-pussyclaat.

Bumboclaat is actually a very vulgar swear word so you can get arrested for using it around police officers as well as dismissed from a class or formal business place","Wah di bumboclaat wrang wid yu! Yu a eediat?

English: What the fuck is wrong with you! Are you an idiot?",14,8
bumboclaat,1097837,Bumboclaat,Marc Reid,"It is a word driven from the jamaican dialect meaning; fuck,shit or anyword like that.it can be used as in adjective or noun","1.weh di bumboclaat do you.
2.yu ugly no bumboclaat.",56,107
bumboclaat,268365,Bumboclaat,Prince J,look up bloodclaat. The prefix bumbo to claat just emphasizes the word.,"Walk and live!
Talk an youre bumboclaat dead.",21,77
bumboclaat,113978,bumboclaat,Dan ::thekino::,"Jamaican, english equivalent of ""motherfucker"". Can be used derogitvely or not, depending on the situation.","""He's the roughest bumboclaat in all of Jamaica""",22,80
bumboclaat,2400880,BUMBOCLAAT,pentozali,"Acronym for: Big Ugly Metropolitan Buildings Often Create Loss of Ambience for All Tenants.  The tendency to overdevelop on culturally and/or ecologically sensitive areas is unfortunately de rigueur under our Republican administration, with the love of money rather than common sense being the bottom line.  Derived from [Bumboclaat].",I have just the right word for all of this shit they're building lately in New York:  BUMBOCLAAT!,14,73
bumboclaat,1243761,Bumboclaat,ManOfTheDiaspora,"Basically bumbo is just a jamaican form of fuck, it can be used in almost as many situtions and can be put in front of another, usually random, word to add a little variety",a weh di bumbo foot dem a do wit dat spliff in dem truck?!,20,79
bumboclaat,2391562,bumboclaat,Crome,Bumboclaat: means fuck or damn.,EX: wut da BUMBOCLAAT wit u?!,20,81
bumbo klaat,1819663,Bumbo Klaat,Sonason Wailer,"In Jamacia, the most coarse word. Can be a jailable offense.","Oh, Bumba Klaat or Who the bumbo klaat.",93,39
bumyaa,5616961,BumYaa,ashkYAA,"–adjective
1. averse or disinclined to work, activity, or exertion; indolent.
2. causing idleness or indolence: a hot, lazy afternoon.
3. slow-moving; sluggish: a lazy stream.
4. (of a livestock brand) placed on its side instead of upright.

–noun ( usually used with a singular verb ) Informal .
1. a lazy person.","[1] Do your math homework, don't be a BumYaa.

[2] Look at all that dirty laundry, that girl is BumYaa",2,0
buruaaaaaaa,4681814,BURUAAAAAAA,Barbatos,"1. Verb; to yell with great indignation
2. Adjective; in arguments, the lowest blow one can deal to their opponent.","1. The madman BURUAAAAAAAed at his victims before striking them.
2. The lawyer was a BURUAAAAAAA because he failed to defend twenty clients.",2,0
bust an aaron,2028127,bust an aaron,james mitchell,relates to leaving somewhere very quickly. originating from the urban myth of the boy called aaron who shat himself whilst waiting for his breakfast then ran without eating it.,"""I've just raped ten bitches, i've gotta bust an aaron""",14,5
but maam,5936606,but maam,JohnnyDingMoFos,Eric Cartman uses on south park to make his mom do something for him.,"eric: 'but maam i want a cream pie""
dirty slut: ""no sweetie pie""
Eric: ""but maaam""
Dirty slut: ""ok than""",4,2
butthaahh,4199402,butthaahh,CaRbA732,"(v) the rahway way to say ""bust that ass""","guy 1. she lookin rite 2day

guy 2. yea id butthaahh

........................................

guy 1. lets go play tht new madden

guy 2. im about to butthaahh",9,1
buuaashiya,5409412,Buuaashiya,tirkus suki,Strong feeling of happiness or in some cases anger; sometimes used as an abusive word,"buuaashiya! how dare you say that.
buuaashiya! the weather today is really nice",1,0
buumbooclaat,2744930,buumbooclaat,Juan Juanito,"pronoun used to add stress or emphasis on a particular word, sentence or phraseology with archaic roots in its allusion to the religious taboo of the period in a womans' cycle, where there is discharge, and a bum(bow) cloth to secure it, sacrilege to the church.",". . . this buumbooclaat bwoy, come down a mi buumbooclaat yard, early inna di buumbooclaat mornin fi come come wake me buumbooclaat up! 'im mus be buumbooclaat mad!",2,2
buuuuhhhhaaaaaaaa,5293332,BUUUUHHHHAAAAAAAA,The Oldest Sister,A [word] used to define a mocking towards another person ie: [brother] during a debate as to which sports team is better/or will win a [game],Now i'm sure this comment will be followed by a long BLAH BLAH BLAH I don't care [EDitorial]. [BUUUUHHHHAAAAAAAA] In the spirit of Mr. TD....,0,5
buyaa,1036307,buyaa,Sean Clifford,comes from The simpsons,a job well done will result in a cheer of 'Buyaa!' with fist pumped!,12,6
buzzaaa,545971,Buzzaaa,Prince Mercury,"(Interjection)

Used to express frustration with a stupor-enducing situation.","Buzzaaa! Why is there a cat on my comic book?

You put eggs in my vegan brownies? Buzzaaa!",4,2
bwaa,5695953,Bwaa,brat11,"A versatile word which can be used in many contexts such as expression of boredom, disgust, hatred or repulsion. By itself, it can be used as an interjection to indicate the same. Can be used in many occasions where the exact feeling cannot be properly expressed or a mixture of feelings come into play.","Today's match was so bwaa !

Feeling really bwaa tonight !
Eww! That tastes so bwaa !

Bwaa ! I dont give a damn",28,7
bwaa,2377195,Bwaa,MC Junior Abrasion,The call of the Jamaican Pteradactyl. This sound is often immitated by debauched fools in a bid to encourage the cooking of pudding noodles.,"Jamaican Pteradactyl flies overhead, 'Bwaa bwaaa!'

Dribbling maniac: 'Bwaa bwaaa!'
Other dribbling maniac in reply: 'Bwaa Bwaaa!'
(the smell of pudding noodles slowly fills the room)",9,13
bwaa,1464255,bwaa,Rae Jen,"slang for why, normally said in a loud voice, originated by rae, who when she is trashed makes up the craziest words","Jenna: omg what did you just say?
Rae: BWAA, do u wanna know?",5,19
bwaa,52748,bwaa,geoff,"""baller with an attitude""
something to say when going fast or moving fast
random word to say",bwaaa bwaaaa bwaaa or bwaa? or your a bwaa,6,21
bwaaa,4991979,bwaaa,Raganok,When you rub someones hair repeadly!,"Person 1: Is that a new haircut?
Person 2: Yeah, why?
Person 1: (Rubs person 1's hair repeadly) Bwaaa!!!!",1,13
bwaaaa,120434,bwaaaa,actinium,"Laughing.  Like ""haha"".",Did you see that episode of Friends where they're trying to get Ross' couch up the stairs?  BWAAAA!,4,14
bwaaaaaaaaaa!,3317903,BWAAAAAAAAAA!,sge400,The sound an unsuspecting male makes when being penetrated by another male's hardened genitalia,sammy was busy minding his own business when chris crept up behind and inside him causing him to yell BWAAAAAAAAAA!,3,32
bwaaaaaah!,4383255,Bwaaaaaah!,fubsish,Exclamation used by TV character Hank Hill in nearly every episode. Conveys a sense of startled horror.,"Bobby: DAD! I JUST TOOK A DUMP ON YOUR LAWN!!
Hank: BWAAAAAAH!",30,4
bwaaaah,5479202,Bwaaaah,taz_911,word one says when falling flat on thier face,"little girl: GO!
(dog takes off pulls little girl she falls on face)
little girl:Bwaaaah!

as seen in popular video ""go bwaaah!"" on youtube",5,1
bwaaah,434433,bwaaah,Mikie,An exclamatory word used when making an action. Like blocking a shot in basketball or cracking someone in football.,"1.)BWAAAH! Get that shit out. 
2.)BWAAAH! Get off me son.",25,15
bwaab?,3011844,Bwaab?,Jamie Laiho,"A term used when dumbstruck, or when you are lost for words.. Maybe after an insult or incredible surprise.","'For gods sake dude, you look F***ing retarded!'
'Bwaab?'

'Here honey, i bought you that pet whale you said you always wanted...'
'Bwaab?'",7,3
bwaad,4431861,bwaad,wesleysnipesblade,awesome,"dude you see that pass.

Yeah it was bwaad",1,1
bwaanin,2622083,bwaanin,Craig Poulter,"Bwaanin - going on, happening. What is going on, What is happening","""What's bwaanin' John ?""",0,0
bwaap,5207703,Bwaap,inigomontoya,verb: to slap another person in the facial region with one's boobie.,What did the big titty say to the face? Bwaap!,11,1
bwaarp,2388338,bwaarp,Dj Mike Lennon,"a term relating to a particularly wobbly [bass] noise in an electronic music composition, can be found much in the [Dubstep] genre. One [Dubstep] Dj has gone a step further and named himself ""Bwaarp"".","""i got really close to the [soundsystem] and just as i did the [bass] line dropped and it was like, BWAARP!, it made my trousers flap mate i can tell thee!""",3,2
bwaat,1125132,bwaat,bigniggatrigga,"The ""bwaat"" is the nether-region between the [twat] and the [bunghole].","Damn!  That chick's bwaat is a veritable forest!
She shaved everything but her bwaat.",0,1
bwaay,5764088,bwaay,indievdual,"The way alternative hip hop artist Lupe Fiasco says boy. Rolls of the tongue magnificently and for a moment can make it seem like you possess some serious swag. Can also be written as Bwaa, bwaah or bwah.","'Tell em look at me bwaay!' - The Show Goes On, LASERS

'Tell em what it do, holla from the bottom, yell it from the roof bwaaaay' - I Dont Wanna Care Right Now, LASERS",1,0
bwoaahhhhhhh,6119549,BWOAAHHHHHHH,S. DaWoop,The noise a laser makes when fired.,"IMMA FIRIN' MAH LAZAH!

BWOAAHHHHHHH",5,1
bwtaa,6134551,BWTAA,BWTAA,"BWTAA is the acronymn for Bro With Tits And Ass. Usually for a girl and guy and the girl happens to act like a bro, but she just happens to have tits and ass.","Dylan: I love you BWTAA <3
Annie: BWTAA <3 /Secret Handshake",12,4
byaa,2665147,byaa,kikinkyle,"a word that dave chappelle uses to say ""hell ya""",kyle is a badass...byaa,4,10
byaaaaaa,1969373,byaaaaaa,Homgen4,"An exclamation featured on the ""chappelle's show"" when dave was imitating howard dean.","""i'm going all over the world then i'm gonna go to D.C. and take the crown(a short pause)BYAAAAAA.""",37,6
byaaa,2119762,byaaa,OOOwatah,used as an exclamation usually with an exaggerated hooking right punch; originally came from a speech by Howard Dean at a convention - Dave Chapelle later spoofed it on The Chappelle Show. Also spelled with an h at the end.,"And then you and me are gonna go into your room, get naked, have some sex and byaaaah!",45,4
byaaa,2410445,byaaa!,Devante,A roar of excitement thats in the moment. Usually used by white people; The roar let out by dean howard on his campaign trail. Also seen on Chappelle's Show.,"Girl, you know I love you, I'm gonna take you home, make love and BYAAA!",4,7
byaaaa,2944583,byaaaa,Gregory says:,Feeling of great Anguish or Dissarray,"""BYAAAAAAAA!"", Todd exclaimed.",1,4
byaaaah,1896325,byaaaah,silkymanjones,"the crazy noise howard dean made during the campaign where he ruined the whole thing with his mouth....

dave chappelle made fun of him...

we're not just going to vermont....tom harkin....we're going to new hampshire, down to cancun for spring break, pittsburg in philadelphia, montreal, vancouver, and then we're gonna go back to washington to chop that mothafuggin desk in half!!....BYAAAAH!!!","Music video style...

I gotta tax policy that'll break ya neck..byaaaah!
gotchu all in check

goin to vermont, down to new hampshire, down to -byaaaaah!

BYAAAAAH!
BYAAAAAH!",88,19
byaaaaa,2002265,byaaaaa,GzuzKryzt,Destroying your presidential candidacy by getting caught up in the moment. Byaaaaa.,"www.youtube.com/watch?v=lawuQ54Cu1M 

And then we will go to Washington D.C., and take back the White House. Byaaaaa!",30,9
byaaaahhhh!!!!,1961398,Byaaaahhhh!!!!,SkeetamusPrime,A loud scream for political power,"Imma take a shower and be like ""Byaaaahhhh!!!!!",109,20
byaaah!,1883250,Byaaah!,GameBoy3008,The [catchphrase] of [Dave Chappelle] as [Howard Dean]. It includes punching your right hand to the top-right about 45°. Dave himself also does/says this at sexual climax ([orgasm]).,"(On the subject of gay marriage)
Dave/Howard Dean: ""Well, I think that when talking about this issue, we have to remember that Mr. [Cheney] has a [lesbian] daughter. Not only that, his mother's a lesbian and his sister's a lesbian, and his greasy granny has holes in her panties! Byaaah! I. LOVE. LESBIANS! Byaaah!!",101,10
byaaah!,1990370,byaaah,mike beer,dave chappelles funniest line ever. based on howard deans speech wherein he makes a retarted donkey-sounding noise,"i love lesbians, byaaah!
i watch ""the L word"" on showtime, byaaah!
i got a tx policy that'll break your neck, byaaah!",108,40
byaahhh,4532962,BYAAHHH,DARKNEOS,"Onomotapia for go,yeah",I love lesbians byaahhh I watch the L word on showtime byaahhh,1,1
byaahh,2865995,Byaahh,Thamilton,"this is what u say to something that u like
 like a big booty,",When You see a girl walkin down the street with a big booty you go up to her and say BYAAHH!!!,0,3
byaah,2062669,Byaah!!,SLLABINATOR,"The only acceptable thing to yell after something awesome (or not) happens.
An exclamation originating from Howard Dean and later made fun of by [Dave Chappelle].","Acceptable times to yell BYAAH!!:
1. After you hit someone in the [waverly jumbles].
2. After you hit someone in general.
3. After pwning your friend (or anybody else).
4. After something awesome happens.
5. Taking a shower, busting into the oval office, having sex with your wife, breaking a desk, or during a campaign speech.

Unacceptable times to yell BYAAH!!:
1. When you don't know what it means.
2. If the thing you are yelling about is not exciting or nothing is happening.
3. During a campaign speech.",53,5
byaah,2133219,byaah,Keith Jaybird,"A term used by David chappelle in a
comedy sketch, on the Dave chappelle show!
A term to make fun of Howard Dean.","Byaahh
I got a new car. Byaahh",57,11
byaah,2020934,byaah!,TenInchPlaya,"Dave Chappelle's new catch phrase, making fun of Howard Dean. Also to be screamed out during a sexual climax.","More...more...that hits the spot, put it rigth there, faster, harder, faster, harder faster harder-BYAAH!!!!!!!!!!!!!!!!!!!!!!!!!!",21,10
byaah,1874037,byaah,Chelss,"loud, funny version of btch.

derived from [dave chapelle]","Hey byaah.
mombojombo.",26,158
bytelaar,4476471,Bytelaar,kittykat22,A kind of ninja that makes tea.,That girl is a Bytelaar.,5,2
bzzzztaagh,2586837,bzzzztAAGH,Sean Darkwood,"The noise made by someone jamming a fork into a toaster, when things go wrong.","""Dude don't pull the toast out with the fork..""
""It's okay I'll be fi---bzzzztAAGH!""",11,2
caa,1929792,CAA,test tube baby,"Center for Academic Achievement/Advancement, commonly abbreviated CAA.

CAA is much like CTY; SAT scores to enter the program are lower, but not by much. Please view the definition of [cty] for clarification.","CAA all the way!
I'm going to nerd CAAmp this summer.",21,7
caa,1724166,CAA,orange00,"Center for Academic Achievement. Sister program of CTY, but for those with lower scores from the Talent Serch. 

Still amazinly fun and the best possible way to spend your summer away from home. American Pie, passionfruit, and lanyards for all. French fries, friends, sleepovers, and junk food sent by mail.

Activities include: *REAL* Boot camp, improv, step, reading, friendship bracelets, sock wars, kindergarden...

And classes too. 

Mostly called 'camp' 'nerd camp' by campers.","""Are you going to CAA again next summer?""

""I love CAA.""",13,2
caa,2545352,CAA,Carlysaurus,the term used that can mean either Carly or Christian addicts annonomous. It is a term that stands for devotion from both parties and is exclusive to those who have the specific names and are engaged in a romantic relationship.,"CAA member since October 7, 2005.",8,6
caa,190785,caa,steak,Computer Addicts Anonymous,I am a CAA.,10,10
caa,5189301,C.A.A.,CherylxPage,Current Assholes of America,"Guy, ""That dude is such a C.A.A.!""
Chick, ""Why do you say that?""
Guy, ""Every time he comes in here, he orders drinks for the whole table and bails when it's time to pay the f*ckin' bill... Current Asshole of America! I'm gonna make him a t-shirt!""",0,1
caa,1874101,CAA,*afterthought.cjb.cc*,"Canadian Automotive Association.

They tow your car when it breaks down. They can also help you unlock your vehicle if you're stupid enough to leave your car keys inside your locked car, or fill up gas for you if you run out (again, if you're stupid enough).",I called the CAA the other day when my car broke down on the DVP.,4,5
caa,117905,caa,Mike,Word used in the Burgettstown area of Western Pennsylvania; referring to an action or defining the use of diction that has been deemed 'cool'.,"Guy: Wow, look at my ""Meatvest""
Girl: Yeah, it's definately pretty caa.",13,15
caaaaaaaaaaaaaaaaaaaa,5716291,caaaaaaaaaaaaaaaaaaaa,duffys main man,a cullompton style way of saying cunt. an effective way of ussing (caaa) is with /brian,you caaaaaaaaaaaaaaaaaaaa/brian!,2,4
caaaaaaak,1153070,caaaaaaak,matt,"when one is blazed, they say caaaaaaak",joe m. sucks caaaaaaak.,9,31
caaaa'mon,4219492,caaaa'mon,five o,"an intoxicated female is waiting for an equally intoxicated male to ejaculate while she is giving oral sex, to expedite the process. caaa'mon would be a response. This would hopefully proceed a ""money shot"".","Nicole stated caaaa'mon, while she struggled on her knees for her man to climax. After all, it has already been ten whole minutes. What the fuck, whats taking so long?",5,2
caaaa'mon,4207703,Caaaa'mon,Ace90210,"1.The solo response to complete and udder idiocracy. The immediate response when faced by a moron.

2. Suprised and disgust.","A complete stranger at a bar says to a female ""Hey baby u should see the size of my cock."" she replies with ""caaaa'mon!""

On a one nite stand, you bring a girl home, pull her panties Down her and see a hairy bush. One would replie with a caaaa'mon!",1,1
caaaant,4148613,Caaaant,futuredunn,"A word used when an individual is expressing disgust when landing a skateboarding trick incorrectly, getting punched, or getting left behind. Usually used in a school or skatepark environment. In some parts of Australia, it is classified amongst several as a ""swear"" word.","1. ""Do a kick-flip Caaaant.""
2. ""Wait for me Caaaants.""
3. ""That fuckin hurt you Caaaant!""",5,2
caaak,57841,caaak,sapien,"Another word for ""cock""",Nelson loves to suck caak,18,9
caac,4072367,CAAC,Uri Geller,cool as a cucumber,"guy 1: look at [obama] - he's CAAC
guy 2: cak?
guy 1: no man, cool as a cucumber!
guy 2: why yes, he is",10,1
caac,2102734,CAAC,Gately1996,"Close At All Costs:  Do whatever it takes to take someone home, even if it must be a horrible wildebeest.  Akin to going hogging.",I haven't gotten laid in three weeks!  Tonight is a CAAC night.,5,3
caabra,5781217,caabra,"nips, zeus, broski, fatty2pac","Slang way to say ""cunt bro"". Its a faster and more urban. Originated in Australia","- Fuck you caabra
- Oi caabra
- Come at me lad and I'll shank you caabra
- Sup caabra",0,0
caack,2092000,Caack,Force560,A insult at a person that is mean in character or just a general insult,Zach is a no good caack.,25,3
caack,4804129,Caack,ConeyIslandWarrior,1: Canadian Cock.,Ki En Tai almost chopped off Val Venis' Caack a few years ago.,2,2
caadd,3919142,CAADD,jessta,Computer aided attention deficit disorder,My CAADD is preventing me from completing this assignment.,1,0
caaf,1162149,CAAF,veggieness,Caring Activists Against Fur,CAAF is against the Seal Hunt,7,5
caahncil,337036,caahncil,Fred,"Term used to describe UK 'trailer trash'.  Similar to 'pikey'.  They usually have Argos jewellery (gold hoop earrings for girls, sovereign rings for both sexes), baseball caps, fake Burberry and gelled fringes.  Males smoke cheap fags by holding them between two fingers and thumb, never just between two fingers like the rest of us.  Don't work - too busy appearing on Trisha or being part of the 'rough couple' in Wife Swap.",She's really caahncil.,6,6
caahncil,241452,caahncil,Tom,The croydonish way of saying council.,i live in a caahncil flat,2,3
caah,6908244,CAAH,Oskarie,"CAAH, short for ""Cute and always horny""

Mostly used by people in their teen years to express their desperate need to get laid, often used together with pictures of ""good looking people"". Commonly used as a hashtag together with a [selfie] as well. The person usually pouts and tries to look sad.","""DUDE OMG HYUNA *picture of Hyuna* !!! # CAAH""

""dude that girl you like just posted a selfie with the hashtag #CAAH. You should totally go for it.""",12,0
caahnt,1497719,caahnt,StormXR,"how a chav pronounces the word 'cunt'
much favoured by council estate scum: age, gender, or generation regardless.","you fackin' caahnt! where's me green, boi?",7,0
caap,3088395,caap,bagitbabe,"A legal restraining/protective order put on someone because of threats, stalking, etc.",I put a Caap on his ass!,4,0
caanan,4650500,caanan,stupidme2,the act of rimming a fat chick,did he really caanan that nasty bitch?,6,7
caanan,4660079,caanan,lil fawker,being obsessed with tall women and pirates. Being obsessed with tall pirates can also be considered caanan.,"OMG, I was so caanan at the WNBA game last night.",6,8
caathi,5165354,caathi,reppin613nicca,it's a somali word that means 'it's all good',"person a: ""yoo man, my hoyo won't let me out so i dont think i can kick it today""

person b: ""oh for real?caathi""",1,1
caat,3004634,Caat,mykitchendoor,Like a cat but longer.,"""Look, that cat is like... really long.""
""No dude, it's just a caat.""",4,4
caat,1690254,CAAT,L-UniT (Amrit),means Chill(in) At All Times. It can be used as a noun.,"Ima CAAT.

U gotta CAAT.",4,7
caat,891056,Caat,Dave Pro,"Originally was a joke in respects to the Walmart Cart Boys to describe a cart. It was later adapted by a babbling idiot named OTL, who proceeded to use it and point in all sorts of directions, leaving listeners very confused.","Mopar: Matt, did you like that movie?
OTL(Matt): AGAGAGAGAGAGA *points* CAAAAAAAATS.",5,13
caauwe,3083674,caauwe,Sawchuck,"1. Word used to describe sitting on your balls.

2. A nickname for your history teacher.","1. ""Dude, I can't get up from that Caauwe!""

2. "" Why does this kid know everything?"" ""Idunno.. what a Caauwe.""",4,3
caazapa,3866084,Caazapa,czpagirl,"the absolute best town to grow up in! Its in the middle of Paraguay. 8 blocks by 8 blocks. Home of IBC and of course its my favorite place on earth.

come visit :) you won't want to leave and do drink out of the bolaños",Quiero volver a Caazapa :),6,2
cabarizzaaay,2549011,Cabarizzaaay,Mariam Bibilouri,"A distinctively unique Performance based Theater/Dance/Musical Camp in the Green Mountains of the Mad River Valley, Vermont. 

Started by Mariam Bibilouri (Tbilisi, Georgia) and Shaina Taub (Waitsfield, VT) in 2005, with Corina Riggs (Tuscon, AZ) joining forces in 2006, this all girl day camp strives to bring artistic growth, musical knoweldge of diverse spheres and genres, Urban and classical dance (including Yoga, [Hip Hop], Jazz Funk and West African) and finally, obscene amounts of ridiculous antics melded with wild heaps of FUN to the youth of the Mad River Valley. 

The limits are none
The campers and teachers are crazy
The final orginial [Cabaret] is off the chain
The alumni are [off the chain]
The experience is unparallelled

THERE IS NOTHING LIKE IT","*Mom, guess what we did today at Cabarizzaaay!???
*Honey, should I make the check out to Cabarizzaaay with two or three Z's?
*Dude, put the shiz back on the stagizzle so we can go to the tiz and re-run the shiz up in the Cabarizzaaay, got it [izzay]?
*Where is Dot Gov and Browser, our Cabarizzaaay mascots?",7,6
cainaan,372872,Cainaan,Emily,A piece of poop.,Don't go cainaan on me.,2,11
caitlyn staab,6020516,Caitlyn Staab,dunzie1997,LOSER,Caitlyn Staab is really annoying! :D,2,0
call a waaambulance,1231074,call a waaambulance,redhed311,An expression used when someone is whining incessantly.,"Call a waaambulance for that spoiled brat, or she'll need a real one before long.",35,70
callizaay,2280532,Callizaay,LindseyLou,A person with scars on their knees who loves strawberry limeades.,The Callizaay ordered a chillicheese wrap and a large strawberry limeade!,0,3
camisaac,976467,camisaac,bowman,"User of rpg2knet, a rpg maker community. He is the exact opposite of [bowmangames] a very gay user. He has a awesome blue cat avvie that he has used since he joined.",This concert is so camisaac.,3,0
canaan,3766522,Canaan,k29,"adj. 

wonderful, magical, and full of hope",My Babe is a true canaan.,84,28
canaan,4755958,Canaan,LivinLargeLiz02,"The greatest friend in the world. She is alway there for ""me"" and understands ""me"". When nobody else does.",[sexy] [funny] [loyal] [canaan],49,29
canaan,8113180,Canaan,Python26,Male with massive penis and great looking in every way,Man he must be a Canaan,18,6
canaan,3966167,Canaan,WickyWickyWildWildWest,The art of rimjobbing a sasquatch.,"damn he really Canaan'd that chick?, NASTY.",44,54
canaan,3244271,Canaan,crazygurl333,"Obsessive with his body, someone who wants big muscles.",Man you are turning into a Canaan nowadays!,29,43
canaan,3751524,Canaan,lala135,a squid.,Many canaans live in the Kosher seas,15,45
canaan,3959585,Canaan,THE REAL CANAAN,"Ugly, stupid, retarded. Mentaly challenged in every way. Someone that will stab you in the back and rip out your kidneys. Someone obsessive over people that dont like him/or her. Morbidly obese! A monster someone who will eat your children, but in the end he'll/she'll always love you.","OMG you look like a freaking canaan.

Wow, she is so gonna be a canaan.",37,98
canaan's side,649417,canaan's side,Kung-Fu Jesus,Israel/palestine. Ancient biblic reference. See [promised land],And land them safe of canaans' side.,3,0
canaaran,6220902,Canaaran,ThatKidFromTheBlock,"Someone who thinks they are the coolest people around town, someone that thinks his swagga is on another level but it clearly is not.",What a canaaran that dude is,3,5
captain maalox,1177044,Captain Maalox,Derick Fox,"A superhero who uses his fecal bag as a weapon. He fights crime for the sake of butt-sex. He also has an intimate relationship with his step-dad, Bill.","Bill: Captain Maalox, get in here and let me do you up the butt.",15,4
ca-raazyyy,3572949,ca-raazyyy,Alexandra LingLoLong,"1) Complete and utter craziness.
2) Usually when someone acts out.
3) Dumb Hoe's","1) ca-raazyyy!!!
2) Dominique you're CA-RAAZYYY!!!!
3) Wait, who are you? You're CA-RAAZYYY",0,1
